id,lon,lat,start,end
fire_01497,-121.01468,39.08805,2021-07-05,2021-08-03
fire_01498,-121.53946,41.68499,2021-07-07,2021-08-05
fire_01499,-121.89008,41.034362,2021-07-08,2021-08-06
fire_01500,-121.30845,39.403918,2021-07-12,2021-08-10
fire_01501,-122.727542,38.250596,2021-07-14,2021-08-12
fire_01502,-122.581257,38.826123,2021-07-14,2021-08-12
fire_01503,-123.637032,39.834099,2021-07-15,2021-08-13
fire_01504,-120.537833,38.586,2021-07-15,2021-08-13
fire_01505,-118.555,36.268,2021-07-17,2021-08-15
fire_01506,-122.601395,38.928133,2021-07-19,2021-08-17
fire_01507,-123.404,41.564,2021-07-19,2021-08-17
fire_01508,-116.659688,33.474823,2021-07-25,2021-08-23
fire_01509,-122.514391,40.616416,2021-07-26,2021-08-24
fire_01510,-120.454797,38.038795,2021-07-26,2021-08-24
fire_01511,-117.440263,34.186147,2021-07-26,2021-08-24
fire_01512,-116.877776,33.918089,2021-07-26,2021-08-24
fire_01513,-121.040771,39.216752,2021-07-26,2021-08-24
fire_01514,-120.402221,37.962933,2021-07-27,2021-08-25
fire_01515,-117.4546,34.25145,2021-07-29,2021-08-27
fire_01516,-117.39309,33.484721,2021-07-29,2021-08-27
fire_01517,-117.466,34.34,2021-07-30,2021-08-28
fire_01518,-123.6744,40.8652,2021-07-30,2021-08-28
fire_01519,-123.52733,41.03877,2021-07-31,2021-08-29
fire_01520,-122.6131992,38.0591827,2021-08-02,2021-08-31
fire_01521,-120.731748,38.529123,2021-08-06,2021-09-04
fire_01522,-121.036613,38.921239,2021-08-06,2021-09-04
fire_01523,-117.111157,33.380079,2021-08-06,2021-09-04
fire_01524,-120.09009,34.6776,2021-08-07,2021-09-05
fire_01525,-118.688821,34.569383,2021-08-12,2021-09-10
fire_01526,-123.202039,39.232362,2021-08-13,2021-09-11
fire_01527,-119.792528,36.89365,2021-08-20,2021-09-18
fire_01528,-117.333215,34.164501,2021-08-23,2021-09-21
fire_01529,-122.416983,38.269863,2021-08-23,2021-09-21
fire_01530,-122.320243,40.729811,2021-08-23,2021-09-21
fire_01531,-123.02375,40.649917,2021-09-05,2021-10-04
fire_01532,-122.436754,40.287225,2021-09-11,2021-10-10
fire_01533,-119.960099,35.983649,2021-09-11,2021-10-10
fire_01534,-122.241128,38.170366,2021-09-11,2021-10-10
fire_01535,-120.136,34.553,2021-09-11,2021-10-10
fire_01536,-122.277441,39.986836,2021-09-14,2021-10-13
fire_01537,-120.358206,41.862388,2021-09-15,2021-10-14
fire_01538,-121.752106,37.013464,2021-09-15,2021-10-14
fire_01539,-121.52692,37.62879,2021-09-24,2021-10-23
fire_01540,-117.487947,33.952633,2021-10-22,2021-11-20
fire_01541,-121.880533,36.396461,2021-12-22,2022-01-20
fire_01542,-117.805666,33.558085,2022-01-11,2022-02-09
fire_01543,-118.371813,37.369355,2022-01-17,2022-02-15
fire_01544,-123.015106,38.46234,2022-01-30,2022-02-28
fire_01545,-122.4073,40.67671,2022-02-02,2022-03-03
fire_01546,-120.2770391,34.4687419,2022-02-10,2022-03-11
fire_01547,-121.9015432,41.9525087,2022-02-10,2022-03-11
fire_01548,-122.3685584,41.4455854,2022-02-10,2022-03-11
fire_01549,-121.692093,41.234712,2022-02-23,2022-03-24
fire_01550,-122.690559,40.44412,2022-03-28,2022-04-26
fire_01551,-115.916687,33.510716,2022-03-31,2022-04-29
fire_01552,-117.462367,34.018021,2022-04-06,2022-05-05
fire_01553,-119.443013,36.974622,2022-04-11,2022-05-10
fire_01554,-117.744398,33.509464,2022-04-11,2022-05-10
fire_01555,-116.900635,33.886637,2022-04-15,2022-05-14
fire_01556,-118.98167,36.051411,2022-04-16,2022-05-15
fire_01557,-118.873889,34.935583,2022-04-19,2022-05-18
fire_01558,-121.998735,38.015611,2022-04-20,2022-05-19
fire_01559,-122.049621,38.824462,2022-04-20,2022-05-19
fire_01560,-123.6641833,38.8733747,2022-04-20,2022-05-19
fire_01561,-122.051923,38.467322,2022-04-21,2022-05-20
fire_01562,-122.275649,40.150329,2022-04-24,2022-05-23
fire_01563,-122.0246463,39.2333948,2022-04-24,2022-05-23
fire_01564,-120.3564497,35.0155237,2022-04-24,2022-05-23
fire_01565,-116.447636,34.090619,2022-04-26,2022-05-25
fire_01566,-114.484173,34.010838,2022-04-26,2022-05-25
fire_01567,-122.270417,38.370078,2022-05-01,2022-05-30
fire_01568,-118.721683,35.199501,2022-05-04,2022-06-02
fire_01569,-116.23339,33.59823,2022-05-05,2022-06-03
fire_01570,-120.56019,35.72373,2022-05-07,2022-06-05
fire_01571,-117.34635,34.31267,2022-05-07,2022-06-05
fire_01572,-121.696808,37.895892,2022-05-10,2022-06-08
fire_01573,-121.431372,39.385829,2022-05-10,2022-06-08
fire_01574,-121.776,40.05,2022-05-11,2022-06-09
fire_01575,-118.9253809,34.9324042,2022-05-12,2022-06-10
fire_01576,-121.392285,39.319804,2022-05-12,2022-06-10
fire_01577,-117.61508,34.355593,2022-05-13,2022-06-11
fire_01578,-116.5882585,32.8134303,2022-05-13,2022-06-11
fire_01579,-116.737119,32.614832,2022-05-14,2022-06-12
fire_01580,-122.45621,40.00919,2022-05-14,2022-06-12
fire_01581,-116.750667,32.567333,2022-05-22,2022-06-20
fire_01582,-122.27742,37.459222,2022-05-22,2022-06-20
fire_01583,-118.889446,34.936618,2022-05-23,2022-06-21
fire_01584,-121.68694,39.37879,2022-05-23,2022-06-21
fire_01585,-122.191103,38.046255,2022-05-24,2022-06-22
fire_01586,-121.903018,37.642217,2022-05-24,2022-06-22
fire_01587,-121.556086,37.365652,2022-05-24,2022-06-22
fire_01588,-121.97785,38.42619,2022-05-24,2022-06-22
fire_01589,-121.97785,38.42619,2022-05-24,2022-06-22
fire_01590,-121.908735,37.97689,2022-05-25,2022-06-23
fire_01591,-117.462524,33.968307,2022-05-26,2022-06-24
fire_01592,-122.359698,41.317476,2022-05-27,2022-06-25
fire_01593,-122.796221,38.323263,2022-05-28,2022-06-26
fire_01594,-122.574563,38.163521,2022-05-28,2022-06-26
fire_01595,-122.55002,39.713372,2022-05-29,2022-06-27
fire_01596,-120.437395,35.136141,2022-05-29,2022-06-27
fire_01597,-121.192271,39.319145,2022-05-29,2022-06-27
fire_01598,-121.650851,39.524038,2022-05-31,2022-06-29
fire_01599,-121.366789,39.480813,2022-05-31,2022-06-29
fire_01600,-119.576797,37.013878,2022-06-01,2022-06-30
fire_01601,-120.819059,35.8640822,2022-06-04,2022-07-03
fire_01602,-120.665415,38.334802,2022-06-04,2022-07-03
fire_01603,-121.430071,39.42972,2022-06-04,2022-07-03
fire_01604,-123.2055576,39.8166571,2022-06-05,2022-07-04
fire_01605,-121.372749,39.300253,2022-06-08,2022-07-07
fire_01606,-119.614,37.499,2022-06-07,2022-07-06
fire_01607,-121.344587,39.020051,2022-06-09,2022-07-08
fire_01608,-116.8460273,32.7947379,2022-06-12,2022-07-11
fire_01609,-122.1347757,38.0936839,2022-06-13,2022-07-12
fire_01610,-122.3182313,40.4411992,2022-06-14,2022-07-13
fire_01611,-121.1183895,38.5570067,2022-06-14,2022-07-13
fire_01612,-122.433855,40.010233,2022-06-16,2022-07-15
fire_01613,-121.340201,38.9848309,2022-06-17,2022-07-16
fire_01614,-116.6077664,32.6077664,2022-06-17,2022-07-16
